"hire_year","total_hires","total_terminations","active_employees","active_employee_percentage"
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,203,939,82.22
2004,1135,211,924,81.41
2005,1097,207,890,81.13
2006,1118,212,906,81.04
2007,1090,166,924,84.77
2008,1108,164,944,85.20
2009,1140,173,967,84.82
2010,1099,154,945,85.99
2011,1101,137,964,87.56
2012,1103,134,969,87.85
2013,1105,119,986,89.23
2014,1053,112,941,89.36
2015,1059,106,953,89.99
2016,1122,92,1030,91.80
2017,1091,77,1014,92.94
2018,1147,71,1076,93.81
2019,1083,69,1014,93.63
2020,1012,53,959,94.76
